UniqueCount	AmbigCount
52	208
84	3
28	1402
0	0
8	492
28	492
1134	15
0	0
0	0
174	1
0	406
48	406
7	59
135	44
395	147
60	56
1824	27
45	0
0	0
68	1
48850	459
5	0
363	5
0	0
65	0
159	1
182	4
2878	29
116	0
5	0
116	3
1422	6
309	6
731	4
37	122
12	115
59	958
8	234
2	1881
382	1
79	0
163	0
7	0
291	6
2031	22
178	1
30	0
6462	8440
771	8403
478	1
278	7
830	5
16	0
396	4
800	7
970	9
221	1
5	1
2	177
1	177
133	0
30	0
211	1
164	1
304	3
258	5
468	6
89	1
109	1
23	0
15	0
511	2
19401	183
54	0
68	136
0	0
2027	17
348	6
92	2
22	0
100	0
77	1
205	1
292	1
5	314
5	314
0	0
0	0
54	0
195	2
1117	72
195	18
133	0
28	0
98	0
1491	19
10	3
276	33
118	1
75	24
1	357
2	357
1070	7
646	4
383	6
0	49056
142	49058
92	0
234	2
775	9
3	0
514	1
0	874
0	874
153	4
2	0
1	0
469	4
60	1
9	357
5	357
269	10
1	0
109	3
429	5
95	2
184	3
1648	15
179	3
14	0
44	0
652	7
18	40
29798	242
484	4
0	141
0	141
36	0
133	2
0	0
1	0
227	3
0	202
8	202
139	4
155	1
290	2
368	4
105	0
98	2
85	1
293	1
276	4
14	3
21	0
140	1
247	3
152	6
1	0
0	2610
10	2610
77	6
812	175
19	25
12	7
322	43
0	0
194	58
160	55
177	2
325	5
145	0
110	4
75	1
8739	77
172	1
320	2
2	0
1205	6
232	4
231	1
116	1
0	0
170	1
65	0
135	0
11	0
1	0
361	3
8	0
66	0
0	0
198	0
0	13
0	0
408	3
23	46
1	46
18	13
251	2
175	1
48	1
206	2
51	0
3547	33
387	6
83	1
342	2
1	528
12	528
49	0
150	4
126	1
926	4
614	6
2	0
1854	17
232	1
5	0
1309	8
140	0
125	0
61	0
9	0
73	1
5	612
31	612
0	0
0	13
0	13
4486	36
85	0
299	391
0	16
0	16
0	16
4	138
0	138
222	1
4	386
39	182
0	34
0	35
3	57
0	57
2	36
0	5
0	6
0	42
0	42
24	61
0	35
0	40
0	36
4	23
0	0
692	7
279	9
118	3
132	1
199	3
669	2
36	0
3371	38
37	0
128	3
0	0
0	423
0	423
62	0
45	0
190	1
315	3
34	0
192	0
280	6
39	0
134	0
363	5
41	0
4	429
58	429
6	0
0	0
0	0
269	1
31	1
126	4
1391	10
6	0
208	1
30	0
87	1
109	0
12	0
292	3
175	7
233	2
89	0
536	11
9	173
8	173
650	5
156	1
657	3
151	1
3	2
8	2
1944	12
464	1
93	1
40	0
124	0
162	2
1	0
0	0
4	363
2	363
168	2
429	411
0	1470
2168	20
87	0
0	0
0	1
1452	17
97	0
248	4
62	1
165	0
893	5
4	300
0	300
433	5
179	0
3	0
6	0
171	1
112	1
0	41
