UniqueCount	AmbigCount
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	8
0	0
7	0
0	0
15	0
0	0
0	0
0	0
369	3
0	0
0	0
0	0
1	0
8	0
0	0
11	0
0	0
0	0
0	0
0	0
1	0
10	0
0	1
0	1
0	1
0	0
0	22
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
55	70
3	70
0	0
0	0
6	0
0	0
3	0
42	0
1	0
0	0
0	0
0	2
0	2
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
16	1
0	0
0	0
0	0
1	0
8	0
0	0
0	0
0	0
0	0
3	0
3	0
0	0
0	0
0	0
0	0
7	0
8	0
2	0
0	0
0	0
0	0
0	0
30	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	455
1	455
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
4	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
1	0
0	0
289	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
22	0
0	0
6	0
0	0
10	0
0	0
0	0
5	0
0	0
2	0
0	0
3	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
43	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
1	0
0	0
8	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	4
0	4
0	0
0	0
0	0
7	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	3
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	9
0	9
0	9
0	9
0	9
0	0
0	0
0	0
47	0
7	0
0	0
0	0
6	0
2	0
2	0
25	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	14
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
21	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	6
10	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
6	0
0	0
0	5
0	5
12	0
0	0
0	0
