UniqueCount	AmbigCount
13	57
100	0
15	704
0	0
2	380
15	380
723	3
1	0
0	0
266	0
0	225
22	225
9	61
88	21
249	110
6	16
1417	6
36	0
0	0
62	0
33315	112
3	0
259	4
0	0
83	0
152	1
333	2
1753	3
99	0
0	0
58	2
1012	3
240	2
705	2
29	114
20	109
40	663
11	781
10	3988
311	1
42	0
305	1
19	0
231	1
744	0
178	2
31	0
5368	6354
660	6342
283	1
288	3
745	2
4	0
232	1
2853	7
769	1
299	1
0	0
5	259
1	259
177	3
8	0
146	0
21	0
101	2
148	0
172	1
48	0
55	0
16	0
10	0
390	0
4206	18
27	0
35	99
0	0
264	0
403	1
85	1
33	0
285	0
72	0
45	0
215	0
3	298
7	298
0	0
0	0
29	0
162	0
419	39
44	3
194	0
1	0
23	0
4164	12
5	0
220	34
94	0
88	21
3	401
4	401
1516	3
263	2
335	3
0	37521
169	37522
227	3
341	3
404	2
0	0
297	1
0	6
0	6
21	0
1	0
0	0
190	1
38	0
10	283
1	284
325	10
0	0
54	0
115	3
42	0
150	0
1387	8
192	0
26	0
44	0
246	6
14	19
23289	83
408	0
0	50
0	50
58	0
68	0
0	1
1	1
96	0
0	179
6	179
137	0
176	0
88	0
413	1
84	0
143	0
63	1
427	3
251	1
6	0
60	2
185	2
387	2
140	6
0	0
0	771
7	771
50	5
174	76
7	21
4	6
303	129
3	1
1667	165
137	53
224	0
266	1
423	5
133	3
114	1
5332	16
393	0
265	0
0	0
1142	1
202	2
220	0
232	2
0	0
288	0
199	1
511	0
12	0
1	0
178	0
3	0
32	0
0	0
155	0
0	7
0	0
314	1
1	6
0	6
4	3
142	0
204	0
237	1
202	0
37	0
4116	15
298	0
97	0
350	1
2	308
8	308
82	1
90	0
142	1
1076	1
472	3
2	0
779	0
263	0
7	0
827	4
405	1
134	1
38	1
2	0
232	0
6	675
43	676
0	0
0	1
0	1
2466	4
70	0
247	225
0	41
0	41
0	41
0	33
0	33
151	2
0	222
18	190
0	39
0	39
3	81
0	81
1	48
0	7
0	9
0	50
0	50
21	71
2	37
0	66
0	63
4	33
0	0
3974	20
513	2
33	1
492	2
287	2
588	1
34	0
4322	11
24	0
169	1
0	0
0	605
1	605
154	0
3	0
72	1
374	0
20	0
108	0
375	2
28	0
30	0
181	2
27	1
14	906
152	906
1	0
0	0
0	0
93	0
18	0
48	0
630	3
4	0
73	0
22	0
44	0
55	0
8	0
100	1
59	4
153	0
92	0
1031	14
3	61
3	61
855	6
135	0
880	1
137	0
1	3
3	3
1087	5
296	0
155	0
28	0
153	0
76	0
0	0
0	0
0	240
1	240
103	0
295	208
0	615
1397	2
182	0
0	0
0	1
1022	4
178	0
398	1
22	1
258	2
580	0
9	1100
0	1100
311	0
116	0
0	0
5	0
305	0
142	0
0	12
0	12
2	0
0	476
24	476
980	2
145	2
7	1
4	1
160	1
22	1
76	1
273	0
199	0
175	1
0	62
65	0
6	0
196	1
248	1
14	0
0	2
1	0
0	218
4	218
0	0
0	0
0	0
169	10
1	0
162	1
20	0
53	0
121	6
2	6
4	1
50	5
3	125
6	125
0	282
13	282
86	0
116	1
1671	5
499	0
209	1
227	1
314	0
240	1
0	0
0	28
0	28
1066	6
541	1
8	1
113	1
4	363
0	363
3	0
0	5
3	1
0	0
