UniqueCount	AmbigCount
24	96
41	0
6	572
0	0
1	240
22	240
625	1
0	0
0	0
310	0
0	136
16	136
22	66
28	11
244	77
3	9
709	2
16	0
0	0
74	0
29477	41
8	0
127	0
0	0
69	0
108	0
137	0
1705	5
83	0
1	0
47	0
1084	1
183	0
729	2
10	44
9	42
8	247
13	916
17	6082
163	0
47	1
137	0
12	0
97	0
288	0
132	0
22	0
4145	5453
486	5445
275	0
243	4
866	1
4	0
149	0
2959	3
504	1
102	0
5	0
4	89
0	89
61	0
11	0
275	0
8	0
82	0
120	0
62	0
31	0
58	0
24	0
9	0
271	0
2850	5
12	0
48	75
0	0
208	0
214	0
48	0
14	0
75	0
125	0
22	0
134	0
1	121
8	121
0	0
0	0
39	0
204	0
379	14
41	2
243	0
0	0
2	0
3470	6
1	0
168	25
60	0
81	37
1	233
1	233
1633	0
189	0
292	1
0	32042
198	32042
45	0
199	0
365	1
4	0
229	1
0	0
0	0
4	0
0	0
0	0
115	0
35	0
7	182
0	182
351	16
3	0
156	0
58	2
68	0
169	0
935	0
258	1
14	0
13	1
310	5
25	36
19943	33
347	0
0	46
0	46
49	1
48	0
0	2
1	2
146	0
0	90
2	90
129	0
124	0
42	0
313	0
28	0
106	1
27	0
325	0
217	0
2	0
33	0
238	0
311	1
92	1
2	0
0	178
2	178
34	1
125	38
0	1
16	12
269	73
1	0
1882	117
116	52
141	0
191	1
260	1
103	4
47	0
2863	2
93	1
156	0
3	0
531	2
175	0
215	1
188	0
0	0
161	1
143	0
379	0
13	0
2	0
146	1
4	0
40	0
1	0
85	0
0	3
0	0
104	0
0	3
0	3
1	8
123	0
111	0
158	0
98	0
24	0
2594	4
216	0
73	0
155	0
0	106
0	106
54	0
245	0
100	2
336	0
475	0
3	0
681	1
122	1
11	0
543	1
361	0
58	0
9	0
2	0
161	1
8	623
39	623
0	0
2	10
0	10
1655	2
40	0
147	213
0	90
1	88
0	90
0	28
0	28
76	0
2	213
33	114
0	56
0	59
7	70
0	70
7	61
0	15
0	16
0	66
0	66
18	75
0	52
0	62
2	57
10	43
0	0
4490	10
446	3
22	0
148	0
227	1
535	2
37	0
2582	1
8	0
52	0
0	0
0	205
0	205
19	0
2	0
94	0
272	1
30	0
33	0
192	1
14	0
77	0
170	0
22	0
5	528
79	528
1	0
0	0
0	0
49	0
8	0
33	0
397	0
0	0
52	0
1	0
6	0
39	0
5	0
51	0
39	4
106	1
55	1
241	8
1	26
0	26
478	2
78	0
665	1
253	1
7	2
1	2
600	3
252	1
69	0
22	0
101	0
69	0
1	0
0	0
1	202
0	202
62	1
201	104
0	419
1146	0
46	0
0	0
0	1
706	0
132	0
104	0
20	0
71	0
485	0
7	670
0	670
528	0
125	0
5	0
4	0
256	2
106	0
0	15
0	15
9	1
0	323
6	323
674	1
110	1
6	0
9	0
167	0
24	0
32	0
371	1
124	0
140	0
0	55
58	0
3	0
146	0
149	0
12	0
0	2
1	0
0	117
4	117
0	0
0	0
0	0
121	4
1	1
129	1
14	0
54	0
79	2
0	5
0	2
14	1
3	76
3	76
0	94
1	94
44	0
72	0
191	0
502	3
147	0
143	2
446	1
130	1
0	0
0	7
0	7
722	1
360	2
7	0
51	1
0	241
0	241
1	0
0	3
4	0
0	0
3	0
216	0
21	959
61	959
105	0
0	0
47	0
39	0
693	3
5	0
82	0
28	0
52	2
3	0
0	11
36	0
268	0
329	0
47	0
8448	10
2	0
14078	17
606	0
92	0
87	0
141	0
28436	30
139	0
852	0
52	7
29	0
23	7
114	0
1248	1
210	0
46	0
2505	4
101	0
152	0
735	0
45	0
100	704
3	0
832	0
362	0
3	0
1	0
0	4
0	0
40	177
825	0
7	0
0	374
0	332
0	276
0	143
13	205
0	56
151	17
18	33
0	0
66	345
109	36
254	171
102	3
8	1
1053	0
0	64
1	166
15	7516
