UniqueCount	AmbigCount
13	78
93	0
0	818
0	0
0	211
15	211
934	0
0	0
0	0
72	0
0	245
44	245
7	53
69	11
645	277
28	28
1180	6
58	0
0	0
85	1
30686	35
17	0
193	0
0	0
47	0
332	0
282	0
2441	0
74	0
0	0
63	0
993	0
178	0
465	1
79	367
111	329
117	1751
49	1010
0	3819
477	0
6	0
167	0
25	0
269	0
372	0
205	0
14	0
4375	4482
383	4482
298	0
239	0
710	0
0	0
56	0
1635	0
858	0
124	0
0	0
0	171
0	171
258	0
0	0
150	0
45	0
77	0
51	0
121	0
0	0
63	0
32	0
53	0
336	0
3797	12
40	0
121	277
0	0
240	0
196	0
55	0
41	0
114	0
33	0
91	0
189	0
0	146
11	146
0	0
0	0
45	0
213	0
560	63
49	13
215	0
13	0
0	0
2732	13
0	0
209	2
35	0
68	30
0	330
0	330
59	0
53	1
296	0
0	22856
183	22856
243	7
229	0
443	0
6	0
244	0
0	19
0	19
21	0
19	0
15	0
170	0
73	0
18	296
0	296
667	0
0	0
27	0
185	2
429	0
297	0
1612	1
0	1
0	0
45	0
200	4
1	15
15855	26
263	0
0	118
0	118
3	0
59	3
0	3
0	3
131	0
0	57
0	57
276	0
286	0
198	0
575	0
119	0
88	0
182	0
702	0
292	6
0	0
63	0
176	0
402	6
219	2
9	0
0	422
0	422
46	2
199	54
0	13
0	21
228	0
0	1
331	5
94	10
221	0
319	0
278	0
114	0
71	0
5725	8
370	0
340	0
0	0
1036	0
199	1
264	8
151	0
0	0
350	0
121	0
399	0
2	0
4	0
171	0
0	0
23	0
0	0
181	0
14	23
0	0
104	0
11	0
0	0
0	0
114	0
184	0
240	0
226	0
18	0
4891	11
486	0
143	0
209	0
0	325
0	325
39	0
160	0
78	0
185	0
580	0
0	0
914	1
386	0
10	0
712	0
575	0
134	0
73	0
0	0
111	0
36	754
67	754
0	0
0	24
0	24
2125	0
83	0
260	263
0	11
0	11
0	11
0	45
0	45
149	0
0	263
14	211
0	43
0	43
0	31
0	31
11	28
0	26
0	27
0	41
0	41
11	21
0	49
0	64
0	64
16	37
0	0
1720	1
336	14
94	0
454	3
209	0
430	7
16	0
4749	1
29	0
234	0
12	0
0	806
0	806
252	0
22	20
204	0
554	0
65	0
82	0
253	0
7	0
72	0
206	0
4	0
15	1047
101	1047
0	0
0	0
0	0
168	1
15	0
53	0
371	0
7	0
252	0
80	0
12	0
45	0
19	0
22	0
27	5
64	0
246	0
799	18
0	2
0	2
746	0
90	0
575	0
140	0
1474	714
1567	723
2147	2
238	0
95	0
13	0
232	0
91	0
0	0
0	0
0	571
0	571
47	0
306	175
0	803
1105	0
