UniqueCount	AmbigCount
1	22
89	0
8	800
2	0
1	188
5	188
763	1
0	0
0	0
121	0
0	79
55	79
12	100
87	49
395	68
2	4
863	5
18	0
0	0
53	0
10163	8
9	0
93	0
0	0
127	0
144	0
244	0
1782	3
62	0
1	0
62	0
1027	0
195	0
493	0
0	93
47	105
47	333
1	16
24	3545
232	0
50	0
528	0
0	0
137	0
593	0
114	0
38	0
1727	5799
213	5799
254	1
19	0
918	0
11	0
184	0
2816	3
560	0
178	0
0	1
0	193
0	193
76	4
0	0
129	0
13	0
74	0
91	0
121	0
10	0
34	0
20	0
9	0
495	1
2457	4
31	0
28	49
0	0
51	0
409	0
94	0
30	0
184	0
51	0
22	0
170	0
0	197
0	197
0	0
0	0
46	0
142	0
220	28
58	6
107	0
0	0
14	0
2391	0
0	0
124	85
60	0
2	8
0	257
0	257
555	0
183	0
307	2
0	39404
374	39404
74	0
388	0
254	0
0	0
267	0
0	4
0	4
16	0
0	0
0	0
109	0
32	0
0	314
0	314
172	53
0	0
33	0
42	0
19	0
67	0
428	0
177	0
3	0
1	0
135	0
33	41
23241	10
253	0
0	46
0	46
37	0
65	0
0	0
0	0
125	0
0	129
7	129
116	0
94	0
36	0
400	1
59	0
130	0
75	0
357	0
244	0
9	0
49	0
121	0
577	0
128	1
0	0
0	445
0	445
15	1
112	57
0	0
7	16
106	2
0	2
514	1
48	12
59	0
188	1
150	0
74	12
52	0
1303	0
133	0
142	0
0	0
470	0
119	0
100	0
154	0
0	0
226	0
76	0
508	0
17	0
2	0
81	0
0	0
30	0
0	0
51	0
6	67
0	0
269	0
0	6
0	6
12	7
91	0
162	0
179	0
81	0
30	0
2769	1
382	0
70	0
207	0
0	144
0	144
53	0
89	0
109	0
551	0
455	0
3	0
304	0
89	0
11	0
314	1
609	0
100	0
10	0
1	0
216	0
1	635
2	635
0	0
0	10
0	10
1224	0
13	0
4	248
0	31
0	31
0	31
0	58
0	58
43	0
6	248
16	199
0	43
0	43
0	31
0	31
1	31
0	0
0	0
0	62
0	62
5	58
0	52
0	35
0	17
4	8
0	0
3517	1
460	11
7	0
483	0
206	0
401	0
21	0
3329	0
23	0
66	0
2	0
0	347
0	347
129	0
1	0
41	0
597	0
42	0
55	0
495	0
26	0
24	0
104	0
18	0
6	1806
76	1807
0	0
0	0
0	0
34	0
2	0
25	0
361	1
7	0
33	0
11	0
27	0
52	0
5	0
60	0
32	6
193	1
128	0
343	18
0	64
1	64
578	0
58	0
671	0
116	0
2	1
1	1
656	0
214	0
165	0
14	0
143	0
68	0
3	0
0	0
0	208
0	208
51	0
352	82
0	174
1980	1
114	0
0	0
0	0
698	0
111	0
385	0
12	0
92	0
479	0
20	1467
0	1467
491	0
103	0
1	0
2	0
252	1
58	0
0	3
0	3
2	0
0	307
0	307
574	0
114	0
3	0
1	0
157	0
8	0
74	0
350	1
346	0
171	0
0	95
62	0
13	0
75	0
